url,title,years,nb_seasons,nb_episodes,episode_length,synopsis,mark,marks_nb
https://www.imdb.com/title/tt20859920/?ref_=chttvtp_i_245,Alchemy of Souls,2022– ,2,30,1h 20min,"Le destin de deux personnes devient tordu à cause du ""hwanhonsool"" (l'âme des morts qui revient aux vivants).","8,8",17 k
https://www.imdb.com/title/tt15614372/?ref_=chttvtp_i_243,À découper suivant les pointillés,2021,,6,20min,"Un dessinateur de bandes dessinées à Rome, avec son tatou pour conscience, réfléchit à son chemin dans la vie et à un amour potentiel alors qu'il voyage avec ses amis en dehors de la ville.","8,6",12 k
https://www.imdb.com/title/tt4295140/?ref_=chttvtp_i_244,Chef's Table,2015–2019,6,30,50min,"Découvrez les vies et les cuisines de six des chefs internationaux les plus renommés. Chaque épisode se concentre sur un chef et leur regard unique sur leur vie, leurs talents et leur passio...","8,5",17 k
https://www.imdb.com/title/tt0373732/?ref_=chttvtp_i_250,Les Boondocks,2005–2014,4,56,22min,"Sur la base de la bande dessinée, Huey et Riley s'éloignent de la ville et s'installent en banlieue avec leur grand-père irascible. Il s'ensuit un commentaire sociopolitique mordant.","8,5",35 k
https://www.imdb.com/title/tt0421291/?ref_=chttvtp_i_241,Avrupa Yakasi,2004–2009,6,190,,The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,"8,6",21 k
https://www.imdb.com/title/tt1439629/?ref_=chttvtp_i_242,Community,2009–2015,6,110,22min,Un avocat suspendu est obligé de s'inscrire dans un centre universitaire communautaire avec son personnel et corps étudiant éclectiques.,"8,5",291 k
https://www.imdb.com/title/tt2433738/?ref_=chttvtp_i_239,Wentworth,2013–2021,9,100,45min,Bea Smith est emprisonnée dans l'attente d'un procès pour avoir tenté de tuer son mari et doit apprendre le fonctionnement de la vie en prison.,"8,6",24 k
https://www.imdb.com/title/tt4269716/?ref_=chttvtp_i_238,Umbre,2014–2019,3,21,45min,"Relu est un père de famille dont personne ne suspecte l'activité criminelle pour un gangster local. Il parvient à dissimuler sa double vie pendant un temps, jusqu'au jour où il tue accidente...","8,7",11 k
https://www.imdb.com/title/tt2243973/?ref_=chttvtp_i_236,Hannibal,2013–2015,3,39,,Explore la relation précoce entre un psychiatre réputé et un jeune profileur criminel du FBI hanté par sa capacité d'empathie envers les tueurs en série.,"8,5",275 k
https://www.imdb.com/title/tt0475784/?ref_=chttvtp_i_237,Westworld,2016–2022,4,36,1h 2min,"Entre futur proche et passé réinventé, explorez un monde dans lequel chaque envie humaine peut être réalisée sans aucune conséquence.","8,5",530 k
